_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,task,task:confidence,what_is_the_last_letter_of_the_currently_verified_term,orig__golden,answer1,answer2,orig_task,task_gold,task_gold_reason,what_is_the_last_letter_of_the_currently_verified_term_gold
568812868,false,finalized,3,10/9/2014 11:42:14,1,1.0,"m
m
m",,Yes,No,In the domain of Human Anatomy: Is class 'Organ System' a subclass of 'Anatomic Structure System or Substance'?,,,
568812869,false,finalized,3,10/9/2014 12:48:32,2,1.0,"y
y
y",,Yes,No,In the domain of Human Anatomy: Is class 'Internal Iliac Artery' a subclass of 'Organ System'?,,,
568812870,false,finalized,3,10/9/2014 11:51:38,2,0.6557,"e
e
e",,Yes,No,In the domain of Human Anatomy: Is class 'Navicular Bone' a subclass of 'Organ System'?,,,
568812871,false,finalized,3,10/9/2014 11:21:14,2,1.0,"e
e
e",,Yes,No,In the domain of Human Anatomy: Is class 'Sphincter Pupillae Muscle' a subclass of 'Organ System'?,,,
568812872,false,finalized,3,10/9/2014 10:58:36,2,0.6667,"e
e
e",,Yes,No,In the domain of Human Anatomy: Is class 'Aortic Valve' a subclass of 'Organ System'?,,,
568812873,false,finalized,3,10/9/2014 11:13:02,2,0.6613,"a
a
a",,Yes,No,In the domain of Human Anatomy: Is class 'Thymic Trabecula' a subclass of 'Organ System'?,,,
568812874,false,finalized,3,10/9/2014 11:17:29,2,0.6613,"e
e
e",,Yes,No,In the domain of Human Anatomy: Is class 'Vagal Triangle' a subclass of 'Organ System'?,,,
568812875,false,finalized,3,10/9/2014 11:00:27,1,1.0,"m
m
m",,Yes,No,In the domain of Human Anatomy: Is class 'Male Reproductive System' a subclass of 'Organ System'?,,,
568812876,false,finalized,3,10/9/2014 11:18:02,1,1.0,"m
m
m",,Yes,No,In the domain of Human Anatomy: Is class 'Reproductive System' a subclass of 'Organ System'?,,,
568812877,false,finalized,3,10/9/2014 11:14:58,1,1.0,"e
e
e",,Yes,No,In the domain of Human Anatomy: Is class 'Penis Erectile Tissue' a subclass of 'Reproductive System'?,,,
568812878,false,finalized,3,10/9/2014 11:50:47,2,1.0,"m
m
m",,Yes,No,In the domain of Human Anatomy: Is class 'Endocrine System' a subclass of 'Reproductive System'?,,,
568812879,false,finalized,3,10/9/2014 11:27:33,1,0.672,"m
m
m",,Yes,No,In the domain of Human Anatomy: Is class 'Nervous System' a subclass of 'Organ System'?,,,
568812880,false,finalized,3,10/9/2014 11:58:27,2,1.0,"m
m
m",,Yes,No,In the domain of Human Anatomy: Is class 'Musculoskeletal System' a subclass of 'Organ System'?,,,
568812881,false,finalized,3,10/9/2014 12:07:35,2,1.0,"y
y
y",,Yes,No,In the domain of Human Anatomy: Is class 'Left Subclavian Artery' a subclass of 'Organ System'?,,,
568812882,false,finalized,3,10/9/2014 12:53:45,2,1.0,"m
m
m",,Yes,No,In the domain of Human Anatomy: Is class 'Immune System' a subclass of 'Organ System'?,,,
568812883,false,finalized,3,10/9/2014 12:07:17,1,1.0,"y
y
y",,Yes,No,In the domain of Human Anatomy: Is class Cavity a subclass of 'Anatomic Structure System or Substance'?,,,
568812884,true,golden,350,"",1,1.0,"y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
Y
Y
Y
y
Y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
Y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
t
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y
y",,Yes,No,In the domain of Human Anatomy: Is class 'Thoracic Cavity' a subclass of Cavity?,1,Thoracic Cavity is a kind of Cavity,y
568812885,false,finalized,3,10/9/2014 12:15:02,2,1.0,"e
e
e",,Yes,No,In the domain of Human Anatomy: Is class 'Internal Pterygoid Muscle' a subclass of 'Female Reproductive System Part'?,,,
568812886,false,finalized,3,10/9/2014 11:51:39,2,1.0,"e
e
e",,Yes,No,In the domain of Human Anatomy: Is class 'Internal Pterygoid Muscle' a subclass of Cavity?,,,
568812887,false,finalized,3,10/9/2014 12:15:34,1,1.0,"y
y
y",,Yes,No,In the domain of Human Anatomy: Is class 'Pericardial Cavity' a subclass of Cavity?,,,
568812888,false,finalized,3,10/9/2014 12:00:45,2,1.0,"s
s
y",,Yes,No,In the domain of Human Anatomy: Is class Pelvis a subclass of Cavity?,,,
568812889,false,finalized,3,10/9/2014 12:03:42,2,1.0,"n
n
n",,Yes,No,In the domain of Human Anatomy: Is class Hind-Brain a subclass of Cavity?,,,
568812890,false,finalized,3,10/9/2014 11:24:27,1,1.0,"y
y
y",,Yes,No,In the domain of Human Anatomy: Is class 'Abdominal Cavity' a subclass of Cavity?,,,
568812891,false,finalized,3,10/9/2014 11:13:02,1,1.0,"y
y
y",,Yes,No,In the domain of Human Anatomy: Is class 'Oral Cavity' a subclass of Cavity?,,,
568812892,false,finalized,3,10/9/2014 11:10:47,2,0.6694,"e
e
e",,Yes,No,In the domain of Human Anatomy: Is class 'Left Cerebral Hemisphere' a subclass of Cavity?,,,
568812893,false,finalized,3,10/9/2014 11:03:55,2,1.0,"t
t
t",,Yes,No,In the domain of Human Anatomy: Is class 'Cricoarytenoid Joint' a subclass of Cavity?,,,
568812894,false,finalized,3,10/9/2014 11:14:10,2,0.6613,"l
l
l",,Yes,No,In the domain of Human Anatomy: Is class 'Haversian Canal' a subclass of Cavity?,,,
568812895,false,finalized,3,10/9/2014 11:15:39,2,0.6613,"l
l
l",,Yes,No,In the domain of Human Anatomy: Is class 'Haversian Canal' a subclass of 'Musculoskeletal System Part'?,,,
568812896,false,finalized,3,10/9/2014 11:06:13,1,0.6694,"l
l
l",,Yes,No,In the domain of Human Anatomy: Is class 'Haversian Canal' a subclass of 'Skeletal System Part'?,,,
568812897,false,finalized,3,10/9/2014 11:25:22,1,0.6694,"n
n
n",,Yes,No,In the domain of Human Anatomy: Is class Organ a subclass of 'Anatomic Structure System or Substance'?,,,
568812898,false,finalized,3,10/9/2014 11:13:57,2,1.0,"e
e
e",,Yes,No,In the domain of Human Anatomy: Is class 'Growing Follicle' a subclass of Organ?,,,
568812899,false,finalized,3,10/9/2014 12:49:46,1,1.0,"r
r
r",,Yes,No,In the domain of Human Anatomy: Is class Liver a subclass of Organ?,,,
568812900,true,golden,335,"",1,0.9206,"s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
S
s
S
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
S
S
s
s
S
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
S
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
n
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
n
s
s
s
s
s",,Yes,No,In the domain of Human Anatomy: Is class Pancreas a subclass of Organ?,1,"""The pancreas is a glandular organ in the digestive system and endocrine system of vertebrates. In humans, it is located in the abdominal cavity behind the stomach.""
http://en.wikipedia.org/wiki/Pancreas",s
568812901,false,finalized,3,10/9/2014 11:37:26,2,0.6613,"s
s
s",,Yes,No,In the domain of Human Anatomy: Is class 'Vas Deferens' a subclass of Organ?,,,
568812902,false,finalized,3,10/9/2014 11:45:27,2,0.6694,"s
s
s",,Yes,No,In the domain of Human Anatomy: Is class Epididymis a subclass of Organ?,,,
568812903,false,finalized,3,10/9/2014 11:02:17,1,1.0,"r
r
r",,Yes,No,In the domain of Human Anatomy: Is class Gallbladder a subclass of Organ?,,,
568812904,false,finalized,3,10/9/2014 10:58:30,2,0.6667,"s
s
s",,Yes,No,In the domain of Human Anatomy: Is class 'Lateral-occipital Sulcus' a subclass of Organ?,,,
568812905,false,finalized,3,10/9/2014 12:15:02,1,0.6694,"s
s
s",,Yes,No,In the domain of Human Anatomy: Is class 'Lateral-occipital Sulcus' a subclass of 'Central Nervous System Part'?,,,
568812906,false,finalized,3,10/9/2014 11:23:54,2,1.0,"t
t
t",,Yes,No,In the domain of Human Anatomy: Is class 'Costochondral Joint' a subclass of Organ?,,,
568812907,false,finalized,3,10/9/2014 11:49:15,2,0.6557,"e
e
e",,Yes,No,In the domain of Human Anatomy: Is class 'Chordae Tendineae' a subclass of Organ?,,,
568812908,false,finalized,3,10/9/2014 11:52:11,2,1.0,"m
m
m",,Yes,No,In the domain of Human Anatomy: Is class Diaphragm a subclass of Organ?,,,
568812909,false,finalized,3,10/9/2014 11:25:22,1,0.6694,"m
m
m",,Yes,No,In the domain of Human Anatomy: Is class Diaphragm a subclass of Muscle?,,,
568812910,false,finalized,3,10/9/2014 12:15:11,1,0.6667,"y
y
y",,Yes,No,In the domain of Human Anatomy: Is class Kidney a subclass of Organ?,,,
568812911,true,golden,308,"",2,1.0,"s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
S
s
S
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
S
S
S
s
s
s
S
S
S
s
s
S
s
S
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
y
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
y
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s
s",,Yes,No,In the domain of Human Anatomy: Is class 'Head of the Humerus' a subclass of Kidney?,2,"""Humerus"" is the long arm bone and therefore its head is not part of the Kidney.",s
568812912,false,finalized,3,10/9/2014 11:48:30,2,1.0,"4
4
4",,Yes,No,In the domain of Human Anatomy: Is class 'Hand Digit 4' a subclass of Kidney?,,,
568812913,false,finalized,3,10/9/2014 11:44:47,2,0.6557,"r
r
r",,Yes,No,In the domain of Human Anatomy: Is class Ureter a subclass of Organ?,,,
