_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,task,task:confidence,what_is_the_first_letter_of_the_currently_verified_term,orig__golden,answer1,answer2,orig_task,task_gold,task_gold_reason,what_is_the_first_letter_of_the_currently_verified_term_gold
568817592,false,finalized,3,10/9/2014 11:23:54,1,1.0,"a
A
A",,Yes,No,Is the concept 'Anatomic Structure System or Substance' relevant for the domain of Human Anatomy?,,,
568817593,true,golden,171,"",1,1.0,"o
O
O
O
o
o
O
O
O
O
O
O
O
O
O
O
o
o
o
o
o
o
o
o
o
o
o
o
o
o
o
O
o
y
O
O
O
o
O
O
o
O
O
o
o
o
o
O
O
o
o
O
O
o
O
O
O
O
o
O
O
O
o
O
O
O
o
O
o
o
o
o
o
o
o
o
o
o
o
o
o
o
o
o
o
o
o
o
O
o
o
o
o
o
o
o
O
o
o
o
O
O
o
o
o
O
o
o
o
o
O
o
o
o
o
o
o
o
o
o
o
o
o
o
o
o
o
o
o
O
O
O
O
o
O
O
o
o
o
o
o
O
o
o
o
o
o
o
o
o
o
o
o
o
o
o
o
o
o
o
o
o
o
O
O
o
o
o
o
O
o",,Yes,No,Is the concept 'Organ System' relevant for the domain of Human Anatomy?,1,"",o
568817594,false,finalized,3,10/9/2014 11:01:13,1,1.0,"r
R
R",,Yes,No,Is the concept 'Respiratory System' relevant for the domain of Human Anatomy?,,,
568817595,false,finalized,3,10/9/2014 11:09:41,1,1.0,"e
e
E",,Yes,No,Is the concept 'Exocrine System' relevant for the domain of Human Anatomy?,,,
568817596,false,finalized,3,10/9/2014 11:19:32,1,1.0,"h
H
H",,Yes,No,Is the concept 'Hematopoietic and Lymphatic System' relevant for the domain of Human Anatomy?,,,
568817597,false,finalized,3,10/9/2014 11:06:06,1,1.0,"g
G
g",,Yes,No,Is the concept 'Gastrointestinal System' relevant for the domain of Human Anatomy?,,,
568817598,false,finalized,3,10/9/2014 11:19:41,1,1.0,"c
C
C",,Yes,No,Is the concept 'Cardiovascular System' relevant for the domain of Human Anatomy?,,,
568817599,false,finalized,3,10/9/2014 11:17:14,1,1.0,"I
i
I",,Yes,No,Is the concept 'Integumentary System' relevant for the domain of Human Anatomy?,,,
568817600,false,finalized,3,10/9/2014 11:29:43,1,1.0,"e
E
E",,Yes,No,Is the concept 'Endocrine System' relevant for the domain of Human Anatomy?,,,
568817601,false,finalized,3,10/9/2014 11:41:08,1,1.0,"R
R
r",,Yes,No,Is the concept 'Reproductive System' relevant for the domain of Human Anatomy?,,,
568817602,false,finalized,3,10/9/2014 12:16:19,1,1.0,"F
F
F",,Yes,No,Is the concept 'Female Reproductive System' relevant for the domain of Human Anatomy?,,,
568817603,true,golden,191,"",2,1.0,"I
i
I
L
I
I
I
i
I
I
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
I
I
I
i
I
I
i
I
I
I
I
I
i
I
i
I
i
I
I
i
I
I
I
I
n
I
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
I
i
i
i
i
i
i
i
I
i
I
i
i
i
i
i
i
I
i
i
i
i
i
i
I
i
I
I
i
i
i
i
i
i
i
i
i
i
i
i
i
I
I
i
i
i
i
i
I
I
I
i
i
i
I
i
i
i
i
i
i
I
i
i
I
i
i
i
i
I
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
I
I
i
I
i
i
I
i
i
i
i
i",,Yes,No,Is the concept 'Ivan Lendl' relevant for the domain of Human Anatomy?,2,"",i
568817604,false,finalized,3,10/9/2014 11:12:59,1,1.0,"M
m
M",,Yes,No,Is the concept 'Male Reproductive System' relevant for the domain of Human Anatomy?,,,
568817605,true,golden,164,"",2,0.9607,"a
A
a
A
A
a
A
A
A
A
A
A
A
A
A
a
A
a
A
a
a
a
a
A
a
a
A
a
a
a
a
a
a
a
a
a
a
a
a
a
A
a
a
a
a
A
A
A
A
a
a
a
a
A
a
a
A
A
A
a
a
a
A
A
a
a
a
a
a
a
a
A
a
a
a
A
a
A
a
a
a
A
a
a
a
a
a
a
a
a
a
a
a
A
a
a
a
a
a
A
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
a
A
a
a
a
a
a
a
a
a
a
a
a
a
A
a
A
A
a
a
a
A
a
a
A
A
A
A
a
a
a
a
a
a
a
a
A",,Yes,No,Is the concept Asylum relevant for the domain of Human Anatomy?,2,"",a
